directory,files,size_mb,newest_file,agency_from_filenames,source_url_in_folder,confidence,state,wells_in_master,official_url,url_status,terms_url,attribution_required,restrictions,terms_checked
Alabama,1,0.0,2026-06-07,AL Oil & Gas Board,,filename only,AL,50,https://www.ogb.state.al.us/,not verified,,not stated,no explicit terms-of-use page located; treat as state public records and VERIFY with the agency before publishing,2026-09-02 (portal only)
Alaska,6,291.3,2026-05-31,AK Oil & Gas Conservation Commission (AOGCC),,filename only,AK,9910,https://www.commerce.alaska.gov/web/aogcc/Data.aspx,200,https://www.commerce.alaska.gov/web/aogcc/Data.aspx,not stated,AOGCC Data Extract published openly; a disclaimer is printed on the data page itself - read it before publishing,2026-09-02
Arizona,3,6.3,2026-06-12,AZ Oil & Gas Conservation Commission (AZOGCC),https://mercator.env.nm.gov/server/rest/services/azdeq/azogcc/MapServer,source URL in folder (NM-hosted),AZ,1166,https://azogcc.az.gov/,not verified,,not stated,no explicit terms-of-use page located; treat as state public records and VERIFY with the agency before publishing,2026-09-02 (portal only)
Arkansas,3,55.8,2026-06-07,AR Oil & Gas Commission (AOGC),,VERIFY - folder also holds an Alaska AOGCC extract,AR,0,https://www.aogc.state.ar.us/,not verified,,not stated,no explicit terms-of-use page located; treat as state public records and VERIFY with the agency before publishing,2026-09-02 (portal only)
Atlantic Offshore,2,0.0,2026-06-08,BSEE / BOEM,https://boem.maps.arcgis.com/home/item.html?id=49604c94c8244f5fb42d6b021446b0d6&sublayer=5,url+filename,OFF-ATL,0,https://www.data.boem.gov/Main/Well.aspx,200,https://www.data.boem.gov/,not stated,"US federal agency data, works of the US government are not subject to copyright; disclaimer shown before download; raw data suggested only for advanced users",2026-09-02
California,17,162.7,2026-08-19,CA Geologic Energy Management Division (CalGEM),https://maps-cadoc.opendata.arcgis.com,metadata title + source URL,CA,242237,https://data.ca.gov/dataset/wellstar-oil-and-gas-wells,200,https://www.conservation.ca.gov/calgem/Online_Data,YES - Creative Commons Attribution licence,CC-BY via CA Open Data; no warranty of accuracy/completeness; Dept of Conservation Conditions of Use incorporated by reference,2026-09-02
Colorado,6,102.6,2026-05-30,"CO Oil & Gas Conservation Commission (COGCC, now ECMC)",,COGCC metadata PDF in folder,CO,101277,https://ecmc.colorado.gov/data-maps-reports/downloadable-data-documents,200,https://ecmc.state.co.us/data.html,not stated,"""There are no restrictions on the use of this data"" provided the user accepts the DNR disclaimer; provided as-is, no warranty",2026-09-02
Florida,1,0.3,2026-06-05,FL Dept of Environmental Protection,,filename only,FL,1323,https://floridadep.gov/water/mining-mitigation/content/oil-gas-program,not verified,,not stated,no explicit terms-of-use page located; treat as state public records and VERIFY with the agency before publishing,2026-09-02 (portal only)
Gulf_of_Mexico,66,1051.6,2026-06-12,BOEM (data.boem.gov),https://www.data.boem.gov/Main/GIS.aspx | http://www.boem.gov/,source URL,GO,54663,https://www.data.boem.gov/Main/Well.aspx,200,https://www.data.boem.gov/,not stated,"US federal agency data, works of the US government are not subject to copyright; disclaimer shown before download; raw data suggested only for advanced users",2026-09-02
Idaho,1,2.3,2026-06-04,ID Geological Survey,,filename only,ID,212,https://ogcc.idaho.gov/data-explorer/,200,https://ogcc.idaho.gov/data-explorer/,not stated,"no warranties as to completeness, accuracy, reliability; user assumes full responsibility for conclusions drawn",2026-09-02
